Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
guice,3,1,7,76521,20121,2014-05-28 23:18:53 +0000 UTC,2022-09-13 08:19:58 +0000 UTC,Java,15,293,325,820,No Releases,11439
mall-learning,4,1,533,100401,4889,2019-04-12 13:20:31 +0000 UTC,2022-09-13 15:18:24 +0000 UTC,Java,0,0,14,71,No Releases,11342
Mybatis-PageHelper,5,1,26,14209,6043,2014-06-09 15:32:30 +0000 UTC,2022-09-13 12:59:01 +0000 UTC,Java,10,27,78,567,No Releases,11337
uCrop,6,1,28,51514,9186,2016-01-05 13:41:06 +0000 UTC,2022-09-12 19:33:56 +0000 UTC,Java,15,104,215,438,No Releases,11319
realm-java,4,1,51,196288,40920,2012-04-20 09:18:42 +0000 UTC,2022-09-13 18:24:43 +0000 UTC,Java,0,2672,361,4118,No Releases,11317
spring-boot-admin,7,1,6,168096,9686,2014-07-25 11:39:13 +0000 UTC,2022-09-13 07:55:51 +0000 UTC,Java,84,403,34,1438,No Releases,11167
androidannotations,5,1,26,42852,23822,2012-01-06 08:48:03 +0000 UTC,2022-09-09 10:58:21 +0000 UTC,Java,0,551,50,1610,No Releases,11156
SlidingMenu,5,1,47,212600,1131,2012-06-30 05:14:23 +0000 UTC,2022-09-12 09:36:43 +0000 UTC,Java,0,35,263,382,No Releases,11154
PermissionsDispatcher,1,1,34,14839,584,2015-08-15 21:41:05 +0000 UTC,2022-09-13 11:38:01 +0000 UTC,Java,40,260,21,452,No Releases,11038
source-code-hunter,0,0,0,52000,7,2019-10-28 01:35:10 +0000 UTC,2022-09-13 12:41:34 +0000 UTC,Java,0,105,4,15,No Releases,10867
vlayout,5,1,72,14088,4323,2017-02-27 08:11:47 +0000 UTC,2022-09-10 04:45:40 +0000 UTC,Java,34,13,190,313,No Releases,10831
zookeeper,5,1,36,180367,54226,2009-03-27 15:41:56 +0000 UTC,2022-09-13 18:04:16 +0000 UTC,Java,0,7,0,0,No Releases,10800
fullstack-tutorial,0,0,0,53699,1652,2018-04-13 01:50:10 +0000 UTC,2022-09-13 12:47:15 +0000 UTC,Java,0,26,18,18,No Releases,10743
FlycoTabLayout,6,1,223,4102,326,2015-11-09 01:53:19 +0000 UTC,2022-09-13 16:09:36 +0000 UTC,Java,4,0,346,179,No Releases,10707
quarkus,5,1,21,1003602,104149,2018-07-06 00:44:20 +0000 UTC,2022-09-13 19:11:29 +0000 UTC,Java,189,13901,1927,9651,No Releases,10666
jedis,5,1,613,66881,14819,2010-06-11 13:04:43 +0000 UTC,2022-09-13 13:41:42 +0000 UTC,Java,69,932,145,1470,No Releases,10660
android-async-http,5,1,45,8743,3512,2011-02-20 03:25:07 +0000 UTC,2022-09-09 11:58:11 +0000 UTC,Java,3,165,111,975,No Releases,10645
FileDownloader,4,1,42,19068,5732,2015-12-22 11:17:16 +0000 UTC,2022-09-13 03:28:44 +0000 UTC,Java,65,36,142,1180,No Releases,10621
webmagic,4,1,12,16232,2509,2013-04-23 12:57:36 +0000 UTC,2022-09-13 13:06:24 +0000 UTC,Java,21,97,297,585,No Releases,10520
interview,2,1,3,30806,6103,2014-07-20 21:27:31 +0000 UTC,2022-09-13 08:23:24 +0000 UTC,Java,0,72,60,25,No Releases,10511
mit-deep-learning-book-pdf,0,1,0,41,0,2017-04-07 10:46:50 +0000 UTC,2022-09-13 11:56:18 +0000 UTC,Java,3,6,10,6,No Releases,10504
ImmersionBar,6,2,159,13416,3008,2017-04-19 05:10:09 +0000 UTC,2022-09-13 16:51:18 +0000 UTC,Java,0,1,115,435,No Releases,10497
okhttp-OkGo,5,1,19,16737,6594,2016-01-15 10:35:24 +0000 UTC,2022-09-13 13:32:34 +0000 UTC,Java,14,5,454,515,No Releases,10445
JiaoZiVideoPlayer,7,2,56,7550,312,2016-02-06 11:04:24 +0000 UTC,2022-09-10 06:50:16 +0000 UTC,Java,78,41,268,2394,No Releases,10421
neo4j,6,1,37,1037573,256352,2012-11-12 08:46:15 +0000 UTC,2022-09-13 09:44:57 +0000 UTC,Java,72,7936,270,2870,No Releases,10392
RxPermissions,4,1,10,1616,171,2015-09-29 13:55:09 +0000 UTC,2022-09-13 05:57:38 +0000 UTC,Java,11,37,86,194,No Releases,10366
Java,1,1,4,14521,5100,2015-11-25 07:30:08 +0000 UTC,2022-09-13 13:08:53 +0000 UTC,Java,0,0,41,11,No Releases,10270
Sa-Token,4,1,72,31374,13288,2020-02-03 10:34:29 +0000 UTC,2022-09-13 14:13:29 +0000 UTC,Java,25,27,0,264,No Releases,10248
